vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"5jfGwxqrdtXkz6qYb78qHx1vsU3CjzHvQizjnFmXPF1D","7","0","1.17.31","0.888591214810847","1","0.93","0","0.986150608643517","0.986150608643517","0.9911679827355145","1","0.9365789716860681","NO_BOND","0","0","0","1","0.98380168","0","1085","0","0","0","0"
"5fdEXhCBKC7FRRsH64asZCSiwgNXRozxmzb1cFzfrtWM","7","0","1.17.33","0.9565502192787019","1","0.93","0","0.6558584113220238","0.9714483208931378","0.99634312418622","1","0.9364370153179149","NO_BOND","0","0","0","1","0","0","1086","0","0","0","0"
"NDf9Pv6TAxTDPR6ud3djsd2Ux1WS2m2YfTw4qEmSnQH","5","11.21885396","1.17.31","0.9868565004529408","1","0.95","0.95","0.6558584113220238","0.9826377988468268","0.7905755914964634","0.9912136923975793","0.9362233862740306","NO_BOND","0","0","0","1","0","0","1087","0","0","0","0"
"8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1","0","0","1.17.33","1","1","1","0","0.8485224845348388","0.8633308897961168","0.7905755914964634","1","0.9361948388530285","NO_BOND","0","0","0","1","0","0","1088","0","0","0","0"
"2zTwGrCrmXNvuhmasxZerKd8ep43Rr2MMoxgs8xS8gWb","7","0","1.17.33","0.9721947215340953","0.9647550390043519","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9361064303873929","NO_BOND","0","0","0","1","0","0","1089","0","0","0","0"
"HzJULufbrhteHLQDYAh8ZZn3P6Kip9MDo2eLEXgiTJed","7","0","1.17.33","0.9650181857215739","0.9790220822209489","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9360925548376436","NO_BOND","0","0","0","1","0","0","1090","0","0","0","0"
"tssGAMwuwFBfJbPeyXTzMvGekdWcVi72Nqg1qzaabEM","7","0","1.17.33","0.973927393553652","0.9609679923566443","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9360545428698778","NO_BOND","0","0","0","1","0","0","1091","0","0","0","0"
"5hA9y3f5P8YsfPaS5rDDNiiKkaXBbRjJEzqwWCzAD7gg","7","0","1.17.33","0.9753205113286283","0.9537164525410536","0.93","0","0.6558584113220238","0.9994858693658653","0.9830099451077194","1","0.9360197608762604","NO_BOND","0","0","0","1","0","0","1092","0","0","0","0"
"AWDiZEPxJizd3f7NxiJijUqHt2NDViGN5CWzzeN5Uoeh","7","0","1.17.33","0.962580943769807","0.9832149593571268","0.93","0","0.6558584113220238","0.9924031095238474","0.9830099451077194","1","0.9359826182622636","NO_BOND","0","0","0","1","0","0","1093","0","0","0","0"
"6tZcqt31FzJv6DhnNeS8xBCH66gvcL5ACrfqyqxQvgJg","7","0","1.17.33","0.9318757042624146","1","0.93","0","0.8495379377555894","0.9913272953509823","0.9414449114582857","1","0.935813079032949","NO_BOND","0","0","0","1","0","0","1094","0","0","0","0"
