vote_account,vemnde_votes
HcbE5huUVDgsf7SURsRfQqnFMp3Zz3i49eXMddugPyAP,0
HpBE2kci3uJ45fjLnxDmF788Qz8h24zrDok5PBsouQos,0
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,417.31718363199997
J1iPFXVJrvx4DuGvgUJeBicnvxTkroisx2Lbeo2Q4aA2,0
J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv,0
J1to3PQfXidUUhprQWgdKkQAMWPJAEqSJ7amkBDE9qhF,110.75562353399998
J2nUHEAgZFRyuJbFjdqPrAa9gyWDuc7hErtDQHPhsYRp,31.244732113
KXMGa7fRW78c6VVND6YwPbR9sEu8V3q9QL3ctLDioAT,0
LbShbQMVKBiaTrxD7GWNEsCXb4bfFuQuEBxtX3eA7CX,0
LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq,2154.942821051
Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9,41336.86841925
MNDE6ueF5uMvyk3ohq7wWZ8H749pbpj1yHj2MvMRCJM,3.539860064
MarinadeA1gorithmicDe1egationStrategy111111,42317155.60074436
P4f3F3VfMhKvpGQXg2MuvLfWmZui41gvcH9XKtYDiFX,1.722849011
Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4,0
QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ,180.85498060599997
QXmsTYFK7YT2BpP2AnvXwuRpfwmsJZpovLcUqdSjoK1,0
R1vAoSPFQdCc6wsAEMtxWXjqptSeN1YUiq2Zni1of21,1.708140145
RAREcr3SmDePhWD4Je1qEh1UMCQD5MFaDHF7UTzezQh,0
Rash24BXgUyy65JJ5KBzpYLrj3pyCqEMEixLVimTcDp,89.148494081
Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp,159839.76712004
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,2.312110057
StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp,400234.5982338179
UVxJgkAkEiu5wqpR8JkBsF6yV3CPMfPivk8nUpCDKw6,0
Va1idkzkB6LEmVFmxWbWU8Ao9qehC62Tjmf68L3uYKj,635.265680708
VotESBSkLKU8vebS6wTR2rzWWJsLc6YThYS6tebPxXq,0
We11J5D4iXcNbdMwCZX2o9RRkwaWBo1AGLADfubmeTb,97.983291783
aVotE2iXaXUVKeTWaHtKbSkkUqH96zC6kTKyonzHQZ4,0
abc1zP7ihWsgQW8z5YmfQNqMckJE5Dfx8fwUNMNVNkY,127550.275918753
bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8,0
beefKGBWeSpHzYBHZXwp5So7wdQGX6mu4ZHCsH3uTar,813.867677578
eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym,0
gangtRyGPTvYWb8K3xS2feJQaCks4iJ7rytFUPtVqSY,337.953188196
i6PZjkPHGYmPfPE8LsJuLn5huZyusXhmysiDiHGPjxb,0
juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx,145014.91738112902
mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,6174078.75012757
mrgn2vsZ5EJ8YEfAMNPXmRux7th9cNfBasQ1JJvVwPn,0
oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,1944.9850481620006
phz34EcgWRCT9otPzRS2JtSzVHxQJk4SovqJvV1TQk8,100
tri1cHBy47fPyhCvrCf6FnR7Mz6XdSoSBah2FsZVQeT,400049.586767731
vahVByZszdHguLa7U7GLz8UdUFN85mcwdkefiqVjtGt,0
voEskim7SFWrPx1tV2PVisqyrJejxmDEARX11mtZ5vo,10
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,4825.233229432999
yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi,4.563084009
