vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,score,eligible_stake_algo,eligible_stake_msol,ui_hints,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
6mBPtjzc3tWBSDFvJEBnidhpf3bqPoLk7nP9STWyzdzv,17909.996200073,20047.7806670691,0.00202344397789445,0.0519444444444444,0.0346149212074897,8,323079.712,HVC-AS,0,0,0.989864274605878,0.949750111781795,0.859826246174318,0.886749317133595,1,1,"",74,1,1,0,0,24795,24795
HTtwGKgQgsQCAFDPBgN7LabHTMEkUpmTnFqEo5cBcquR,68758.064824459,71211.2822663684,0.00281585128725179,0.051471040827078,0.0335674839596634,8,323301.34,OOO NIIR-RadioNet,0,0,0.985894991059763,0.951270658493525,0.860416074517632,0.886709337368413,1,1,"",75,1,1,0,0,24794,24794
StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp,202913.897477395,211798.743279541,0.0361891808163064,0.0648178533024092,0.0629812279071566,7,337310.442,AS-CHOOPA,0,0,0.818723126017054,0.908571230215738,0.897699113772455,0.886385278459569,1,1,"",76,1,1,0,0,24785,24785
F2bcoVhE2he5DCruN4PKkWAriNXs2VWty94n9CCdWZ8s,68564.763000267,71085.6152666852,0.00281585128725179,0.0431178470652155,0.0406911191756418,8,323327.192,OOO NIIR-RadioNet,0,0,0.985894991059763,0.940929399267064,0.860484875582169,0.885966779785252,1,1,"",77,1,1,0,0,24773,24773
R1vAoSPFQdCc6wsAEMtxWXjqptSeN1YUiq2Zni1of21,19316.55307713,20428.8507066619,0.0266392516012659,0.116944444444444,0.0500642883546055,5,332332.135,LATITUDE-SH,0,0,0.866560111431239,0.927322530117486,0.884450126413839,0.884995693624489,1,1,"",78,1,1,0,0,24746,24746
ASrBTnxfvt8uY164wRrM9xXP925yoHzoRBnVYU5s7DEs,68478.157166867,71027.683531234,0.00281585128725179,0.0786876591181511,0.0526509877642059,8,323361.416,OOO NIIR-RadioNet,0,0,0.985894991059763,0.923567462890628,0.860575957418497,0.884701309168855,1,1,"",79,1,1,0,0,24738,24738
D7A2eMsi2MTpmRFRN14s3GvA6ExsEfrXL3CkkK3hWEGA,62475.196911667,67597.4764961686,0.000523000228256542,0.0185688331276567,0.0185688331276567,10,320260.95,JSC Avantel,0,0,0.997380215734864,0.973043943003245,0.852324550898204,0.883926914111924,1,1,"",80,1,1,0,0,24716,24716
SFund7s2YPS7iCu7W2TobbuQEpVEAv9ZU7zHKiN1Gow,216310.818077271,223579.757368708,0.0354283001606752,0.0617722750470487,0.0617722750470487,5,335745.2,WEBNX,0,0,0.822534487966004,0.910326246375311,0.893533466400532,0.883902298947126,1,1,"",81,1,1,0,0,24716,24716
DUCKsGEPEdNv9QeskPNwoJdWgAXjxUFrkNDEKjAnLWyY,62595.998857833,65556.8954454687,0.000523000228256542,0.0160151261781696,0.0160151261781696,10,319786.65,JSC Avantel,0,0,0.997380215734864,0.976751115640865,0.851062275449102,0.883241100123201,1,1,"",82,1,1,0,0,24697,24697
DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45,62711.408971569,65053.6590587825,0.000335968055681695,0.029239477842419,0.02781780381572,10,320072.76,PE Konstantin Vladimirovich Kravchenko,0,0,0.998317087109508,0.959617370675585,0.85182371257485,0.882652974664854,1,1,"",84,1,1,0,0,24681,24681
FUXPuLmdHMLfwEoHJPrtPj1cLJbyEYGZdkomXsNa7u3L,797313.614366322,800931.674868673,0.0328319457208871,0.0540071052431035,0.0540071052431035,5,333670.59,AMAZON-AES,0,0,0.8355400052499,0.921598810374654,0.888012215568862,0.882523152043314,1,1,"",85,1,1,0,0,24677,24677
HiLaiF6HAUL2kYBsHcVb3CDws9c3dEphtfPbzDnKYFYB,83946.766548988,85931.7734650269,0.00155318834653072,0.0330596163096163,0.0330596163096163,10,320456.61,LAYER-HOST-HOUSTON,0,0,0.99221985350829,0.952007921262131,0.852845269461078,0.881915409453038,1,1,"",86,1,1,0,0,24660,24660
H7CfFGvmUHWvryBKAaVibVxz85SYmWyoECx3CjLHq3zC,66750.323034258,68946.2577187062,0.00871076598247226,0.0597849737981317,0.0394512201321826,8,323181.372,Inetcom LLC,0,0,0.956366505356539,0.942729339470949,0.860096798403194,0.881263871862766,1,1,"",88,1,1,0,0,24642,24642
De4k4hrdkxFHmAx4nVRA3g5ukdg4YqmDLdwuYUcrjjud,62975.186805705,65621.7569729543,0.000341140758019111,0.0357801825050109,0.0318135605755115,10,319309.56,Netorn LLC,0,0,0.998291176290622,0.953816799028372,0.849792574850299,0.880640376931739,1,1,"",89,1,1,0,0,24624,24624
5pkXTTVgxvebUwtfCmZmMeJBhKB51BeiZbguo6ZrrSas,62447.663156248,67432.655363633,0.000523000228256542,0.0451255574466395,0.0451255574466395,10,320042.52,JSC Avantel,0,0,0.997380215734864,0.934492001183951,0.851743233532934,0.880514212921771,1,1,"",90,1,1,0,0,24621,24621
6GoijNiK3JZVAY96ykCfPhcJnrQfrQMLvrQaX5HyMVhu,62610.61710765,65257.5200137827,0.000341140758019111,0.0383426226551227,0.0310986994733265,10,319072.59,Netorn LLC,0,0,0.998291176290622,0.954854550645977,0.849161916167665,0.880235081915682,1,1,"",92,1,1,0,0,24613,24613
9vNLTLdwAdHw8EdiZrLzDtUpm3hp7E2MGaNi6SmdfBGz,82435.201554706,84440.8177697153,0.00155318834653072,0.0478032797724514,0.0478032797724514,10,320270.58,LAYER-HOST-HOUSTON,0,0,0.99221985350829,0.930604797548707,0.852350179640719,0.879888176997883,1,1,"",94,1,1,0,0,24603,24603
6W8yrMwtDU5G6ErazhZHfLjqZV8cMvajpSRGYgrZ3d4v,1245910.38921874,1262564.45741027,0.00329130222855726,0.0393821354915345,0.0393821354915345,10,320353.2,AS-INCX,0,0,0.983513388093684,0.942829628460468,0.85257005988024,0.879658231034633,1,1,"",95,1,1,0,0,24597,24597
5h4UTTYdYnAVP1LbQNWWHXeBN37tdUopoczCnsthZToE,60166.616300586,62823.6715272522,0.000163752847975471,0.0244360902255639,0.0244360902255639,10,318357.54,Beyond.pl sp. z o.o.,0,0,0.999179738150541,0.964526546371023,0.847258922155689,0.879651941863768,1,1,"",96,1,1,0,0,24597,24597
